Experiment,Class,Precision,Recall,F1,Support
A1,LOW,0.5268096514745308,0.5745614035087719,0.5496503496503496,684
A1,MEDIUM,0.45121951219512196,0.4723404255319149,0.46153846153846156,705
A1,HIGH,0.44696969696969696,0.37881219903691815,0.4100781928757602,623
A2,LOW,0.543661971830986,0.564327485380117,0.5538020086083214,684
A2,MEDIUM,0.43902439024390244,0.4340425531914894,0.43651925820256776,705
A2,HIGH,0.43305785123966944,0.420545746388443,0.42671009771986973,623
A3,LOW,0.5625,0.6052631578947368,0.5830985915492958,684
A3,MEDIUM,0.4629349470499244,0.4340425531914894,0.4480234260614934,705
A3,HIGH,0.4634146341463415,0.45746388443017655,0.4604200323101777,623
A4,LOW,0.5534682080924855,0.5599415204678363,0.5566860465116279,684
A4,MEDIUM,0.4603174603174603,0.4524822695035461,0.4563662374821173,705
A4,HIGH,0.43381180223285487,0.43659711075441415,0.4352,623
A5 (No Dependency),LOW,0.55858310626703,0.5994152046783626,0.5782792665726375,684
A5 (No Dependency),MEDIUM,0.4621212121212121,0.4326241134751773,0.4468864468864469,705
A5 (No Dependency),HIGH,0.46601941747572817,0.4622792937399679,0.46414182111200647,623
A5 (No Complexity),LOW,0.5537414965986395,0.5950292397660819,0.5736434108527132,684
A5 (No Complexity),MEDIUM,0.45714285714285713,0.43120567375886526,0.44379562043795623,705
A5 (No Complexity),HIGH,0.45751633986928103,0.449438202247191,0.4534412955465587,623
A5 (No Action),LOW,0.5545087483176312,0.6023391812865497,0.5774351786965662,684
A5 (No Action),MEDIUM,0.46189024390243905,0.4297872340425532,0.4452608376193975,705
A5 (No Action),HIGH,0.45840130505709625,0.4510433386837881,0.4546925566343042,623
A5 (No Execution),LOW,0.5625,0.6052631578947368,0.5830985915492958,684
A5 (No Execution),MEDIUM,0.4657534246575342,0.4340425531914894,0.44933920704845814,705
A5 (No Execution),HIGH,0.4604200323101777,0.45746388443017655,0.45893719806763283,623
