Model,Class,Precision,Recall,F1,Support
B0 (Majority),LOW,0.0,0.0,0.0,684
B0 (Majority),MEDIUM,0.3503976143141153,1.0,0.5189547294810453,705
B0 (Majority),HIGH,0.0,0.0,0.0,623
B1 (LogReg Struct),LOW,0.5268096514745308,0.5745614035087719,0.5496503496503496,684
B1 (LogReg Struct),MEDIUM,0.45121951219512196,0.4723404255319149,0.46153846153846156,705
B1 (LogReg Struct),HIGH,0.44696969696969696,0.37881219903691815,0.4100781928757602,623
B2 (LogReg Text),LOW,0.543661971830986,0.564327485380117,0.5538020086083214,684
B2 (LogReg Text),MEDIUM,0.43902439024390244,0.4340425531914894,0.43651925820256776,705
B2 (LogReg Text),HIGH,0.43305785123966944,0.420545746388443,0.42671009771986973,623
B3 (RF Struct),LOW,0.5383502170767004,0.543859649122807,0.5410909090909091,684
B3 (RF Struct),MEDIUM,0.4520383693045564,0.5347517730496454,0.4899285250162443,705
B3 (RF Struct),HIGH,0.4722792607802875,0.36918138041733545,0.4144144144144144,623
B4 (XGB Struct),LOW,0.5376955903271693,0.5526315789473685,0.5450612833453496,684
B4 (XGB Struct),MEDIUM,0.44206008583690987,0.43829787234042555,0.44017094017094016,705
B4 (XGB Struct),HIGH,0.43934426229508194,0.4301765650080257,0.43471208434712083,623
B5 (E06 Hybrid),LOW,0.5625,0.6052631578947368,0.5830985915492958,684
B5 (E06 Hybrid),MEDIUM,0.4629349470499244,0.4340425531914894,0.4480234260614934,705
B5 (E06 Hybrid),HIGH,0.4634146341463415,0.45746388443017655,0.4604200323101777,623
