sample_id,repository,workflow_id,workflow_path,commit_date,final_label,true_label,predicted_class,predicted_label,probability_LOW,probability_MEDIUM,probability_HIGH,confidence,correct,rf_correct,conf_bin
gha_0001731,KORComic/comicmeta.koplugin,191816372,.github/workflows/format.yml,2025-09-23T19:55:33Z,2,HIGH,1,MEDIUM,0.33431847670032183,0.3404220174374617,0.3252595058622166,0.3404220174374617,False,False,"(0.0, 0.5]"
gha_0007418,jfrog/evidence-extractor,170011138,.github/workflows/test_and_build.yml,2025-06-22T11:20:47Z,1,MEDIUM,1,MEDIUM,0.3242427102139578,0.34428716727146563,0.3314701225145765,0.34428716727146563,True,True,"(0.0, 0.5]"
gha_0006187,exospherehost/exospherehost,186512811,.github/workflows/integration-tests.yml,2025-09-04T12:05:23Z,0,LOW,1,MEDIUM,0.3251467918874738,0.3450064827923193,0.32984672532020676,0.3450064827923193,False,False,"(0.0, 0.5]"
gha_0005490,databricks-industry-solutions/mining-iron-ore-processing,173916263,.github/workflows/databricks-ci.yml,2025-07-11T03:44:57Z,2,HIGH,2,HIGH,0.3138883525167435,0.34069617085692333,0.3454154766263332,0.3454154766263332,True,True,"(0.0, 0.5]"
gha_0003629,acmepjz/lean-iwasawa,152598875,.github/workflows/blueprint.yml,2025-03-28T07:44:57Z,1,MEDIUM,1,MEDIUM,0.31998417382554245,0.34558271065550944,0.3344331155189481,0.34558271065550944,True,True,"(0.0, 0.5]"
gha_0009265,neptaco/mcproc,169970238,.github/workflows/publish-homebrew.yml,2025-06-22T02:27:54Z,0,LOW,0,LOW,0.34812073538310173,0.3386871369618116,0.31319212765508664,0.34812073538310173,True,True,"(0.0, 0.5]"
gha_0005342,croct-tech/schemas,151260122,.github/workflows/deploy-schemas.yaml,2025-05-12T19:56:56Z,0,LOW,0,LOW,0.35114608802763586,0.3081252127922639,0.3407286991801002,0.35114608802763586,True,False,"(0.0, 0.5]"
gha_0010812,secretflow/sfl,175973538,.github/workflows/license-check.yml,2024-03-13T13:11:51Z,1,MEDIUM,1,MEDIUM,0.30133873339463096,0.3517461270846559,0.34691513952071323,0.3517461270846559,True,False,"(0.0, 0.5]"
gha_0010523,roi007leaf/pf2e-visioner,179076071,.github/workflows/main.yml,2025-09-08T19:04:40Z,0,LOW,0,LOW,0.353530516557374,0.29633603803088854,0.3501334454117374,0.353530516557374,True,False,"(0.0, 0.5]"
gha_0004484,bawerbozdag/tw-bootstrap-grid,163328690,.github/workflows/build.yml,2025-06-02T22:30:17Z,0,LOW,1,MEDIUM,0.34307207355099295,0.3536228356402999,0.30330509080870716,0.3536228356402999,False,False,"(0.0, 0.5]"
gha_0003234,TheHotwireClub/hotwire_club-mcp,214690472,.github/workflows/lint.yml,2025-12-10T13:10:31Z,2,HIGH,2,HIGH,0.30663827345562533,0.3389200061701563,0.3544417203742183,0.3544417203742183,True,False,"(0.0, 0.5]"
gha_0012666,xun082/DocFlow,201293735,.github/workflows/code-review.yml,2025-11-02T09:18:09Z,0,LOW,1,MEDIUM,0.3311898868464626,0.3544811224520446,0.31432899070149267,0.3544811224520446,False,False,"(0.0, 0.5]"
gha_0007925,l0uisgrange/zap,174513002,.github/workflows/test.yml,2025-08-15T07:09:39Z,2,HIGH,1,MEDIUM,0.352944973135533,0.3545329410728338,0.29252208579163314,0.3545329410728338,False,False,"(0.0, 0.5]"
gha_0010870,sevonj/scratchmark,164577420,.github/workflows/flatpak.yml,2025-07-11T10:05:04Z,0,LOW,0,LOW,0.35473346902893077,0.3228856144324952,0.32238091653857404,0.35473346902893077,True,False,"(0.0, 0.5]"
gha_0006919,herb-sin/afilaxy,202459940,.github/workflows/secure-build.yml,2025-11-11T19:19:47Z,2,HIGH,2,HIGH,0.33049559640336396,0.31432798988568367,0.3551764137109524,0.3551764137109524,True,True,"(0.0, 0.5]"
gha_0011900,untrace-dev/untrace-sdk,187835939,.github/workflows/python-sdk-release.yml,2025-09-09T19:50:55Z,0,LOW,0,LOW,0.35553694738012637,0.31569597892613244,0.3287670736937412,0.35553694738012637,True,True,"(0.0, 0.5]"
gha_0010871,sevonj/scratchmark,164577420,.github/workflows/flatpak.yml,2025-09-10T11:09:46Z,0,LOW,0,LOW,0.3562255977843477,0.3286611211354195,0.31511328108023284,0.3562255977843477,True,False,"(0.0, 0.5]"
gha_0012732,yeqianmen/kubectl-mounts,160926448,.github/workflows/ci.yaml,2025-05-12T08:27:24Z,0,LOW,0,LOW,0.3562293042308475,0.3397521522413005,0.30401854352785196,0.3562293042308475,True,True,"(0.0, 0.5]"
gha_0012665,xun082/DocFlow,201293735,.github/workflows/code-review.yml,2025-10-28T13:29:59Z,1,MEDIUM,1,MEDIUM,0.34386000644784837,0.35629118633094625,0.29984880722120544,0.35629118633094625,True,False,"(0.0, 0.5]"
gha_0004485,bawerbozdag/tw-bootstrap-grid,163328690,.github/workflows/build.yml,2025-08-14T06:54:38Z,0,LOW,1,MEDIUM,0.3412583627756507,0.35632351365218257,0.30241812357216685,0.35632351365218257,False,False,"(0.0, 0.5]"
gha_0011185,sst/opentui,184154134,.github/workflows/build-core.yml,2025-09-15T12:25:36Z,0,LOW,1,MEDIUM,0.3018150862833752,0.3565323412407902,0.3416525724758347,0.3565323412407902,False,False,"(0.0, 0.5]"
gha_0010872,sevonj/scratchmark,164577420,.github/workflows/flatpak.yml,2025-09-13T20:19:37Z,0,LOW,0,LOW,0.35690416943949,0.32781955315008227,0.31527627741042774,0.35690416943949,True,False,"(0.0, 0.5]"
gha_0001122,EralChen/vunk-markdown,167590492,.github/workflows/npm-publish.yml,2025-06-10T09:44:46Z,0,LOW,1,MEDIUM,0.3404587713763914,0.35735244989159903,0.30218877873200967,0.35735244989159903,False,True,"(0.0, 0.5]"
gha_0009911,patroninc/patron,185751072,.github/workflows/react-server-lint.yml,2025-09-02T01:06:48Z,2,HIGH,1,MEDIUM,0.320181227784385,0.3575083549984911,0.32231041721712395,0.3575083549984911,False,False,"(0.0, 0.5]"
gha_0004752,brekkylab/ailoy,162835813,.github/workflows/build_node_linux.yaml,2025-05-28T03:58:19Z,2,HIGH,2,HIGH,0.3308026629971758,0.31017065505209573,0.3590266819507285,0.3590266819507285,True,True,"(0.0, 0.5]"
gha_0007904,kylc/jank-nrepl-server,183323886,.github/workflows/ci.yaml,2025-08-23T01:25:26Z,0,LOW,1,MEDIUM,0.30645884160540976,0.3594511839375464,0.3340899744570438,0.3594511839375464,False,True,"(0.0, 0.5]"
gha_0012234,waleedyaseen/modelviewer,157392068,.github/workflows/push.yml,2025-04-21T19:15:37Z,0,LOW,0,LOW,0.3601345723055344,0.34290898998177766,0.296956437712688,0.3601345723055344,True,False,"(0.0, 0.5]"
gha_0003051,Syonix/ha-wiser-by-feller,159211718,.github/workflows/test.yml,2025-05-01T11:34:48Z,0,LOW,2,HIGH,0.319185263211069,0.32065024718242835,0.3601644896065026,0.3601644896065026,False,False,"(0.0, 0.5]"
gha_0005225,coenttb/swift-io,218476560,.github/workflows/swiftlint.yml,2025-12-24T10:15:56Z,1,MEDIUM,1,MEDIUM,0.31674653757889676,0.36048004914150455,0.32277341327959874,0.36048004914150455,True,True,"(0.0, 0.5]"
gha_0007401,jerseycheese/Narraitor,185684648,.github/workflows/deploy-storybook.yml,2025-11-01T16:23:46Z,0,LOW,1,MEDIUM,0.35726869384873733,0.36065376937287347,0.28207753677838915,0.36065376937287347,False,True,"(0.0, 0.5]"
gha_0003760,alex-eg/sex,194269220,.github/workflows/build.yaml,2025-10-01T12:54:17Z,1,MEDIUM,1,MEDIUM,0.3066387525245549,0.36112762667004716,0.33223362080539787,0.36112762667004716,True,False,"(0.0, 0.5]"
gha_0010869,sevonj/scratchmark,164577420,.github/workflows/flatpak.yml,2025-05-29T10:29:35Z,0,LOW,0,LOW,0.36126044995416995,0.3092052722354221,0.32953427781040795,0.36126044995416995,True,False,"(0.0, 0.5]"
gha_0005639,dhyansraj/mcp-mesh,167113347,.github/workflows/release.yml,2025-08-14T14:54:51Z,2,HIGH,1,MEDIUM,0.2961689339595954,0.36209159825697107,0.34173946778343345,0.36209159825697107,False,True,"(0.0, 0.5]"
gha_0006180,exospherehost/exospherehost,181776102,.github/workflows/test-state-manager.yml,2025-08-17T04:42:24Z,2,HIGH,1,MEDIUM,0.35855718921643576,0.36247485135406743,0.27896795942949676,0.36247485135406743,False,False,"(0.0, 0.5]"
gha_0004755,brekkylab/ailoy,163112399,.github/workflows/build_python_windows.yaml,2025-07-02T12:16:53Z,2,HIGH,2,HIGH,0.36243088414222274,0.274922839573654,0.3626462762841233,0.3626462762841233,True,True,"(0.0, 0.5]"
gha_0001760,Kerollmops/rmdb,183300281,.github/workflows/rust.yml,2025-08-23T08:43:56Z,2,HIGH,2,HIGH,0.34039816368869497,0.29630263253680167,0.3632992037745033,0.3632992037745033,True,False,"(0.0, 0.5]"
gha_0010349,rarimo/aari-contracts,164300854,.github/workflows/checks.yml,2025-05-26T11:52:16Z,1,MEDIUM,1,MEDIUM,0.3489856486968387,0.36373313960839637,0.2872812116947649,0.36373313960839637,True,True,"(0.0, 0.5]"
