Feature,Importance
trigger_pull_request,0.040340457
continue_on_error_count,0.021444464
trigger_schedule,0.019366246
run_step_count,0.014408224
step_count,0.0138809495
jobs_with_services,0.00911101
jobs_without_dependencies,0.008464275
workflow_has_name,0.007893831
jobs_with_strategy,0.0062340777
step_continue_on_error_count,0.006183724
has_write_permission,0.005984625
permissions_scope_count,0.0056947186
Text_SVD_1,0.005093331
permissions_present,0.004945762
job_count,0.004878829
workflow_name_length,0.004687215
total_condition_count,0.0045451433
self_hosted_runner_count,0.0044973753
permissions_write_count,0.0044839424
job_continue_on_error_count,0.004280544
jobs_with_dependencies,0.0041116113
command_token_count,0.004060166
local_action_count,0.0039982335
unique_shell_count,0.0038811658
github_hosted_runner_count,0.0038608038
jobs_with_matrix,0.0038244997
Text_SVD_7,0.0037772818
actions_at_sha,0.0037770974
unique_runner_count,0.003732364
global_env_variable_count,0.003633159
Text_SVD_9,0.0036099479
Text_SVD_10,0.0035610842
Text_SVD_35,0.0034727599
Text_SVD_5,0.0034385973
third_party_action_count,0.003349105
trigger_push,0.0033300442
Text_SVD_39,0.0033092822
max_command_length,0.0032990386
Text_SVD_130,0.0032679348
Text_SVD_33,0.0032600446
steps_with_env_count,0.0032210685
Text_SVD_16,0.0032154366
Text_SVD_21,0.00321359
Text_SVD_117,0.003202162
Text_SVD_163,0.003187926
Text_SVD_220,0.0031769695
Text_SVD_99,0.0031689564
environment_name_count,0.0031618106
Text_SVD_57,0.0031517579
Text_SVD_2,0.0031223109
Text_SVD_12,0.0031220065
conditional_branch_density,0.0031212075
Text_SVD_19,0.0031105634
Text_SVD_169,0.0030871748
Text_SVD_206,0.0030513662
Text_SVD_40,0.0030481254
Text_SVD_23,0.0030479499
Text_SVD_159,0.0030463152
Text_SVD_234,0.0030372052
Text_SVD_15,0.003026714
Text_SVD_111,0.0030259872
estimated_matrix_combinations,0.0030258617
Text_SVD_105,0.003015342
actions_at_major_version,0.003009969
Text_SVD_186,0.0030004364
dependency_edge_count,0.0029837259
Text_SVD_119,0.0029798455
Text_SVD_79,0.002977532
Text_SVD_125,0.0029751454
Text_SVD_207,0.0029687055
Text_SVD_13,0.0029680908
matrix_dimension_count,0.0029411633
Text_SVD_43,0.0029355155
Text_SVD_248,0.002926325
Text_SVD_250,0.0029192262
Text_SVD_243,0.0029179482
Text_SVD_6,0.0029151642
timeout_configured_count,0.0029072342
Text_SVD_14,0.002901023
Text_SVD_38,0.0028900492
Text_SVD_182,0.0028889421
Text_SVD_101,0.0028871829
total_action_steps,0.0028853258
Text_SVD_229,0.0028824138
Text_SVD_48,0.0028739963
Text_SVD_236,0.0028722691
Text_SVD_11,0.0028596006
