Model,Class,Precision,Recall,F1
E06 Hybrid LogReg,LOW,0.5625,0.6052631578947368,0.5830985915492958
E06 Hybrid LogReg,MEDIUM,0.4629349470499244,0.4340425531914894,0.4480234260614934
E06 Hybrid LogReg,HIGH,0.4634146341463415,0.45746388443017655,0.4604200323101777
RF Structural,LOW,0.5383502170767004,0.543859649122807,0.5410909090909091
RF Structural,MEDIUM,0.4520383693045564,0.5347517730496454,0.4899285250162443
RF Structural,HIGH,0.4722792607802875,0.36918138041733545,0.4144144144144144
N1 XGBoost Struct,LOW,0.5296735905044511,0.5219298245614035,0.5257731958762887
N1 XGBoost Struct,MEDIUM,0.4448484848484848,0.5205673758865248,0.4797385620915033
N1 XGBoost Struct,HIGH,0.47368421052631576,0.3900481540930979,0.4278169014084507
N2 XGBoost Hybrid,LOW,0.535230352303523,0.577485380116959,0.5555555555555556
N2 XGBoost Hybrid,MEDIUM,0.47301136363636365,0.4723404255319149,0.47267565649396737
N2 XGBoost Hybrid,HIGH,0.5,0.45746388443017655,0.47778709136630343
N3 RF Hybrid,LOW,0.5574229691876751,0.5818713450292398,0.5693848354792561
N3 RF Hybrid,MEDIUM,0.4580265095729013,0.44113475177304967,0.44942196531791906
N3 RF Hybrid,HIGH,0.46526655896607433,0.4622792937399679,0.463768115942029
