commit_date,workflow_count,repository_count
2021-06-30 00:00:00+00:00,2,2
2021-07-31 00:00:00+00:00,0,0
2021-08-31 00:00:00+00:00,0,0
2021-09-30 00:00:00+00:00,2,2
2021-10-31 00:00:00+00:00,1,1
2021-11-30 00:00:00+00:00,0,0
2021-12-31 00:00:00+00:00,0,0
2022-01-31 00:00:00+00:00,0,0
2022-02-28 00:00:00+00:00,0,0
2022-03-31 00:00:00+00:00,2,1
2022-04-30 00:00:00+00:00,2,2
2022-05-31 00:00:00+00:00,0,0
2022-06-30 00:00:00+00:00,1,1
2022-07-31 00:00:00+00:00,0,0
2022-08-31 00:00:00+00:00,1,1
2022-09-30 00:00:00+00:00,1,1
2022-10-31 00:00:00+00:00,0,0
2022-11-30 00:00:00+00:00,1,1
2022-12-31 00:00:00+00:00,0,0
2023-01-31 00:00:00+00:00,1,1
2023-02-28 00:00:00+00:00,1,1
2023-03-31 00:00:00+00:00,0,0
2023-04-30 00:00:00+00:00,0,0
2023-05-31 00:00:00+00:00,0,0
2023-06-30 00:00:00+00:00,2,2
2023-07-31 00:00:00+00:00,0,0
2023-08-31 00:00:00+00:00,5,2
2023-09-30 00:00:00+00:00,0,0
2023-10-31 00:00:00+00:00,2,2
2023-11-30 00:00:00+00:00,3,3
2023-12-31 00:00:00+00:00,9,6
2024-01-31 00:00:00+00:00,6,6
2024-02-29 00:00:00+00:00,1,1
2024-03-31 00:00:00+00:00,4,4
2024-04-30 00:00:00+00:00,1,1
2024-05-31 00:00:00+00:00,5,5
2024-06-30 00:00:00+00:00,3,2
2024-07-31 00:00:00+00:00,2,2
2024-08-31 00:00:00+00:00,1,1
2024-09-30 00:00:00+00:00,2,2
2024-10-31 00:00:00+00:00,3,3
2024-11-30 00:00:00+00:00,11,6
2024-12-31 00:00:00+00:00,4,4
2025-01-31 00:00:00+00:00,12,9
2025-02-28 00:00:00+00:00,28,16
2025-03-31 00:00:00+00:00,248,142
2025-04-30 00:00:00+00:00,916,467
2025-05-31 00:00:00+00:00,1471,760
2025-06-30 00:00:00+00:00,1803,872
2025-07-31 00:00:00+00:00,2407,1091
2025-08-31 00:00:00+00:00,2700,1169
2025-09-30 00:00:00+00:00,1759,788
2025-10-31 00:00:00+00:00,824,387
2025-11-30 00:00:00+00:00,253,105
2025-12-31 00:00:00+00:00,429,215
2026-01-31 00:00:00+00:00,15,11
