Model,Class,Precision,Recall,F1
T1 CodeBERT + LR,LOW,0.4648318042813456,0.4444444444444444,0.45440956651718983
T1 CodeBERT + LR,MEDIUM,0.40508221225710017,0.3843971631205674,0.39446870451237265
T1 CodeBERT + LR,HIGH,0.3454281567489115,0.38202247191011235,0.3628048780487805
T2 CodeBERT + MLP,LOW,0.4968847352024922,0.46637426900584794,0.48114630467571645
T2 CodeBERT + MLP,MEDIUM,0.3989169675090253,0.6269503546099291,0.4875896304467733
T2 CodeBERT + MLP,HIGH,0.3893129770992366,0.1637239165329053,0.2305084745762712
T3 CodeBERT + Structure,LOW,0.488268156424581,0.6388888888888888,0.5535148828372387
T3 CodeBERT + Structure,MEDIUM,0.4750830564784053,0.4056737588652482,0.43764345830145374
T3 CodeBERT + Structure,HIGH,0.458252427184466,0.37881219903691815,0.4147627416520211
E06 Hybrid Logistic Regression,LOW,0.5625,0.6052631578947368,0.5830985915492958
E06 Hybrid Logistic Regression,MEDIUM,0.4629349470499244,0.4340425531914894,0.4480234260614934
E06 Hybrid Logistic Regression,HIGH,0.4634146341463415,0.45746388443017655,0.4604200323101777
